date,close,returns,label,rsi_14,macd,bb_upper,bb_lower,sma_7,sma_30,sentiment_avg,fear_greed,buy_hold,model,random,pred,in_market
2025-06-23,105333.93,0.042373,1,51.47,-381.368853,110208.34396355,100423.30603645,103687.47714286,105750.67833333,0.0,44.0,17305.68970088042,5712.071567653872,12000.509394117058,0,0
2025-06-24,106083.0,0.007086,1,53.31,-220.856357,110280.00352018,100490.26047982,103906.31,105653.30533333,0.0,49.0,17428.757101709747,5712.071567653872,12085.849621827647,0,0
2025-06-25,107340.58,0.011785,0,56.31,7.737951,110285.76247594,101067.69152406,104256.85285714,105583.49833333,0.0,40.0,17635.36943691867,5712.071567653872,12229.123499521698,0,0
2025-06-26,106947.06,-0.003673,1,55.12,155.355964,110403.43480206,101215.88119794,104583.77714286,105517.128,0.0,42.0,17570.71662266318,5712.071567653872,12216.894376022177,0,0
2025-06-27,107047.59,0.00094,1,55.38,277.260152,110509.13661228,101259.72338772,105119.43428571,105492.655,0.0,51.0,17587.23305744948,5712.071567653872,12216.894376022177,0,0
2025-06-28,107296.79,0.002325,1,56.06,389.488673,110629.19443596,101295.94456404,105858.97428571,105549.55633333,0.0,53.0,17628.175020532595,5712.071567653872,12233.089196738725,0,0
2025-06-29,108356.93,0.009832,0,58.92,557.547957,110232.19758254,101502.33241746,106915.12571429,105695.27133333,0.0,41.0,17802.349228971332,5712.071567653872,12353.957558047861,0,0
2025-06-30,107146.5,-0.011234,0,54.55,586.305995,109610.25047136,101811.49052864,107174.06428571,105780.42533333,0.0,47.0,17603.48333661702,5712.071567653872,12215.954378675875,0,0
2025-07-01,105681.14,-0.013771,1,49.73,485.260856,109209.62652887,101915.71647113,107116.65571429,105781.699,0.0,54.0,17362.73407889843,5712.071567653872,12048.886197182906,0,0
2025-07-02,108849.6,0.029541,1,58.3,653.319043,109654.24580491,101788.88419509,107332.23,105881.41933333,0.0,50.0,17883.2917528564,5712.071567653872,12036.837310985724,0,0
2025-07-03,109584.78,0.006731,0,60.01,836.190169,110193.12473152,101601.82426848,107709.04714286,106021.68233333,0.0,51.0,18004.07711569526,5712.071567653872,12106.017058873362,0,0
2025-07-04,107984.24,-0.014713,1,54.76,842.25763,110413.52595917,101638.38304083,107842.85428571,106131.26166667,0.0,52.0,17741.11865023359,5712.071567653872,12093.911041814488,0,0
2025-07-05,108198.12,0.001979,1,55.32,854.474614,110643.191094,101669.128906,107971.61571429,106354.243,0.0,67.0,17776.2577636534,5712.071567653872,12105.74709544094,0,0
